attack_type,model_type,F_0.5,F_1.0,F_2.0,F_5.0,EOC,CBS,FPR,FNR,TP,FP,TN,FN
replay_same_hard,tcn,0.056865852521674275,0.08582483292296868,0.17488532110091742,0.39635136823691114,22.08949562827644,5.313894938991545,0.3605236656596173,0.43457943925233644,121,2506,4445,93
replay_same_hard,transformer,0.026656004264960686,0.03927344133529701,0.07457121551081283,0.1445046547172433,40.95404040910961,1.6040991257741066,0.25636599050496334,0.813953488372093,40,1782,5169,175
replay_other_soft,cnn,0.06739243131156039,0.10176125244618393,0.20766773162939298,0.47239692522711385,16.44591714322319,6.423648074168113,0.3589606214840611,0.3217391304347826,156,2680,4786,74
replay_other_soft,lstm,0.06176735798016231,0.09303904923599321,0.18844566712517194,0.4207914943886592,20.562689991730625,5.611223051747633,0.34529868738280206,0.4043478260869565,137,2578,4888,93
replay_other_soft,bilstm,0.07552983616413649,0.11488996856244642,0.23991406063499643,0.5794433972724249,6.715277373367964,8.328200887501602,0.4109295472810072,0.12608695652173912,201,3068,4398,29
replay_other_soft,gru,0.0718835304822566,0.1082191780821918,0.2188365650969529,0.4867298578199053,15.991311336027675,6.530427794407109,0.339137422984195,0.3130434782608696,158,2532,4934,72
replay_other_soft,cnn_lstm,0.06216513257315567,0.09496327387198322,0.20102176810306532,0.5042863266180884,11.107705656949184,7.414033473485599,0.4555317439057059,0.21304347826086956,181,3401,4065,49
replay_other_soft,tcn,0.16516998075689546,0.21638655462184875,0.3136419001218027,0.41378244746600745,27.6916048404943,4.395351681244832,0.08290918832038575,0.5521739130434783,103,619,6847,127
replay_other_soft,transformer,0.08762572386467539,0.126861555432984,0.22972433080303636,0.4077458066275739,25.196624698633805,4.803375301366193,0.19662469863380658,0.5,115,1468,5998,115
takeover_step,cnn,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,230,0,7467,0
takeover_step,lstm,0.9991273996509599,0.9978213507625272,0.9965187119234117,0.99581869877906,0.21739130434782608,9.956521739130435,0.0,0.004347826086956522,229,0,7467,1
takeover_step,bilstm,0.9991273996509599,0.9978213507625272,0.9965187119234117,0.99581869877906,0.21739130434782608,9.956521739130435,0.0,0.004347826086956522,229,0,7467,1
takeover_step,gru,0.4681112019623876,0.5841836734693877,0.7767978290366351,0.944479695431472,0.26091614698877963,9.912996896489481,0.04352484264095353,0.004347826086956522,229,325,7142,1
takeover_step,cnn_lstm,0.9991273996509599,0.9978213507625272,0.9965187119234117,0.99581869877906,0.21739130434782608,9.956521739130435,0.0,0.004347826086956522,229,0,7467,1
takeover_step,tcn,0.9964726631393297,0.9912280701754386,0.9860383944153577,0.9832663989290495,0.8695652173913043,9.82608695652174,0.0,0.017391304347826087,226,0,7467,4
takeover_step,transformer,0.8860759493670887,0.7567567567567568,0.6603773584905661,0.6179966044142615,19.565217391304348,6.086956521739131,0.0,0.391304347826087,140,0,7467,90
takeover_ramp,cnn,0.9344978165938865,0.953229398663697,0.9727272727272728,0.983560190913912,0.6936614158008231,9.859333975904246,0.0024171761694867055,0.013824884792626729,214,17,7016,3
takeover_ramp,lstm,0.9644444444444443,0.9774774774774774,0.9908675799086757,0.9982307147912243,0.0014216661927779358,9.998578333807222,0.0014216661927779358,0.0,217,10,7024,0
takeover_ramp,bilstm,0.9334485738980122,0.9557522123893805,0.9791477787851315,0.992226148409894,0.23311591231005688,9.951215884924967,0.002701165766278078,0.004608294930875576,216,19,7015,1
takeover_ramp,gru,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,217,0,7034,0
takeover_ramp,cnn_lstm,0.9953917050691243,0.9953917050691244,0.9953917050691243,0.9953917050691244,0.2304147465437788,9.953917050691244,0.0,0.004608294930875576,216,0,7033,1
takeover_ramp,tcn,0.9972041006523766,0.9930394431554525,0.988909426987061,0.9866997694626707,0.6912442396313364,9.861751152073733,0.0,0.013824884792626729,214,0,7034,3
takeover_ramp,transformer,0.928636779505947,0.9311926605504587,0.9337626494940202,0.935152374202693,3.2279392541153915,9.35270590717493,0.00213280250248827,0.06451612903225806,203,15,7018,14
