model,attack_id,flight_id,attack_type,t_attack,t_first_window,delay,detected
cnn,151,193,takeover_ramp,40.23553773066088,59.18,18.94446226933912,True
cnn,152,193,takeover_ramp,40.23553773066088,64.83,24.594462269339118,True
cnn,153,197,drift_sigmoid,115.19058430867968,27.88,0.0,True
cnn,154,212,drift_sigmoid,79.90523467535208,0.51,0.0,True
cnn,155,212,drift_sigmoid,79.90523467535208,4.13,0.0,True
cnn,156,212,drift_sigmoid,79.90523467535208,14.13,0.0,True
cnn,157,212,drift_sigmoid,79.90523467535208,14.31,0.0,True
cnn,158,212,drift_sigmoid,79.90523467535208,30.34,0.0,True
cnn,159,212,drift_sigmoid,79.90523467535208,38.88,0.0,True
cnn,160,221,takeover_step,10.536360647437668,2.14,0.0,True
cnn,161,221,takeover_step,10.536360647437668,12.09,1.5536393525623318,True
cnn,162,221,takeover_step,10.536360647437668,14.040000000000001,3.503639352562333,True
cnn,163,221,takeover_step,10.536360647437668,28.0,17.463639352562332,True
cnn,164,221,takeover_step,10.536360647437668,41.49,30.953639352562334,True
cnn,165,221,takeover_step,10.536360647437668,50.2,39.663639352562335,True
cnn,166,221,takeover_step,10.536360647437668,55.56,45.023639352562334,True
cnn,167,221,takeover_step,10.536360647437668,62.980000000000004,52.443639352562336,True
cnn,168,221,takeover_step,10.536360647437668,67.55,57.01363935256233,True
cnn,169,224,takeover_step,93.79210260555344,6.59,0.0,True
cnn,170,224,takeover_step,93.79210260555344,7.91,0.0,True
cnn,171,224,takeover_step,93.79210260555344,9.72,0.0,True
cnn,172,224,takeover_step,93.79210260555344,18.71,0.0,True
cnn,173,224,takeover_step,93.79210260555344,26.39,0.0,True
cnn,174,224,takeover_step,93.79210260555344,32.660000000000004,0.0,True
cnn,175,224,takeover_step,93.79210260555344,41.81,0.0,True
cnn,176,224,takeover_step,93.79210260555344,48.120000000000005,0.0,True
cnn,177,224,takeover_step,93.79210260555344,55.64,0.0,True
cnn,178,224,takeover_step,93.79210260555344,59.78,0.0,True
cnn,179,224,takeover_step,93.79210260555344,63.63,0.0,True
cnn,180,224,takeover_step,93.79210260555344,66.93,0.0,True
cnn,181,233,delay,149.85146211197676,29.03,0.0,True
cnn,182,233,delay,149.85146211197676,60.0,0.0,True
cnn,183,243,step,127.99537316243467,3.85,0.0,True
cnn,184,243,step,127.99537316243467,7.69,0.0,True
cnn,185,243,step,127.99537316243467,11.32,0.0,True
cnn,186,243,step,127.99537316243467,18.41,0.0,True
cnn,187,243,step,127.99537316243467,34.58,0.0,True
cnn,188,243,step,127.99537316243467,40.78,0.0,True
cnn,189,243,step,127.99537316243467,53.59,0.0,True
cnn,190,243,step,127.99537316243467,58.0,0.0,True
cnn,191,254,drift_ramp,94.5062250126336,12.85,0.0,True
cnn,192,254,drift_ramp,94.5062250126336,31.48,0.0,True
cnn,193,254,drift_ramp,94.5062250126336,36.06,0.0,True
cnn,194,254,drift_ramp,94.5062250126336,60.84,0.0,True
cnn,195,258,drift_sigmoid,128.36090134328924,16.580000000000002,0.0,True
cnn,196,258,drift_sigmoid,128.36090134328924,51.17,0.0,True
cnn,197,264,delay,123.6817420350072,32.81,0.0,True
cnn,198,264,delay,123.6817420350072,63.95,0.0,True
cnn,199,264,delay,123.6817420350072,67.69,0.0,True
cnn,200,264,delay,123.6817420350072,68.79,0.0,True
cnn,201,276,takeover_step,113.5829416248078,27.12,0.0,True
cnn,202,279,drift_ramp,90.42971961610978,31.59,0.0,True
cnn,203,279,drift_ramp,90.42971961610978,32.39,0.0,True
cnn,204,279,drift_ramp,90.42971961610978,49.72,0.0,True
cnn,205,279,drift_ramp,90.42971961610978,58.120000000000005,0.0,True
cnn,206,279,drift_ramp,90.42971961610978,58.7,0.0,True
cnn,207,279,drift_ramp,90.42971961610978,60.59,0.0,True
cnn,208,279,drift_ramp,90.42971961610978,61.26,0.0,True
cnn,209,279,drift_ramp,90.42971961610978,64.97,0.0,True
lstm,0,2,takeover_ramp,95.8006784666841,1.37,0.0,True
lstm,1,2,takeover_ramp,95.8006784666841,1.57,0.0,True
lstm,2,2,takeover_ramp,95.8006784666841,5.38,0.0,True
lstm,3,2,takeover_ramp,95.8006784666841,9.24,0.0,True
lstm,4,2,takeover_ramp,95.8006784666841,10.290000000000001,0.0,True
lstm,5,2,takeover_ramp,95.8006784666841,16.31,0.0,True
lstm,6,2,takeover_ramp,95.8006784666841,17.23,0.0,True
lstm,7,2,takeover_ramp,95.8006784666841,21.55,0.0,True
lstm,8,2,takeover_ramp,95.8006784666841,24.44,0.0,True
lstm,9,2,takeover_ramp,95.8006784666841,25.87,0.0,True
lstm,10,2,takeover_ramp,95.8006784666841,29.87,0.0,True
lstm,11,2,takeover_ramp,95.8006784666841,30.68,0.0,True
lstm,12,2,takeover_ramp,95.8006784666841,39.01,0.0,True
lstm,13,2,takeover_ramp,95.8006784666841,43.86,0.0,True
lstm,14,2,takeover_ramp,95.8006784666841,53.88,0.0,True
lstm,15,2,takeover_ramp,95.8006784666841,59.46,0.0,True
lstm,16,2,takeover_ramp,95.8006784666841,61.34,0.0,True
lstm,17,2,takeover_ramp,95.8006784666841,63.84,0.0,True
lstm,18,2,takeover_ramp,95.8006784666841,68.59,0.0,True
lstm,19,76,step,165.52877740850676,4.53,0.0,True
lstm,20,76,step,165.52877740850676,5.92,0.0,True
lstm,21,76,step,165.52877740850676,15.71,0.0,True
lstm,22,76,step,165.52877740850676,33.84,0.0,True
lstm,23,76,step,165.52877740850676,49.26,0.0,True
lstm,24,76,step,165.52877740850676,50.730000000000004,0.0,True
lstm,25,76,step,165.52877740850676,61.6,0.0,True
lstm,26,76,step,165.52877740850676,64.29,0.0,True
lstm,27,76,step,165.52877740850676,65.18,0.0,True
lstm,28,76,step,165.52877740850676,65.73,0.0,True
lstm,29,76,step,165.52877740850676,66.53,0.0,True
lstm,30,77,takeover_ramp,87.63696498999546,29.6,0.0,True
lstm,31,77,takeover_ramp,87.63696498999546,69.42,0.0,True
lstm,32,95,step,58.56240426323088,5.24,0.0,True
lstm,33,95,step,58.56240426323088,6.1000000000000005,0.0,True
lstm,34,95,step,58.56240426323088,7.07,0.0,True
lstm,35,95,step,58.56240426323088,16.43,0.0,True
lstm,36,95,step,58.56240426323088,25.14,0.0,True
lstm,37,95,step,58.56240426323088,35.410000000000004,0.0,True
lstm,38,95,step,58.56240426323088,35.69,0.0,True
lstm,39,95,step,58.56240426323088,39.52,0.0,True
lstm,40,95,step,58.56240426323088,46.03,0.0,True
lstm,41,95,step,58.56240426323088,49.480000000000004,0.0,True
lstm,42,95,step,58.56240426323088,58.71,0.1475957367691194,True
lstm,43,108,step,75.3845071838438,10.540000000000001,0.0,True
lstm,44,108,step,75.3845071838438,50.63,0.0,True
lstm,45,108,step,75.3845071838438,56.64,0.0,True
lstm,46,108,step,75.3845071838438,57.34,0.0,True
lstm,47,108,step,75.3845071838438,62.5,0.0,True
lstm,48,108,step,75.3845071838438,70.18,0.0,True
lstm,49,110,step,84.5364701054331,0.83,0.0,True
lstm,50,110,step,84.5364701054331,6.8100000000000005,0.0,True
lstm,51,110,step,84.5364701054331,10.85,0.0,True
lstm,52,110,step,84.5364701054331,18.26,0.0,True
lstm,53,110,step,84.5364701054331,25.71,0.0,True
lstm,54,110,step,84.5364701054331,28.36,0.0,True
lstm,55,110,step,84.5364701054331,32.980000000000004,0.0,True
lstm,56,110,step,84.5364701054331,34.38,0.0,True
lstm,57,110,step,84.5364701054331,37.75,0.0,True
lstm,58,110,step,84.5364701054331,43.64,0.0,True
lstm,59,110,step,84.5364701054331,61.76,0.0,True
lstm,60,110,step,84.5364701054331,62.81,0.0,True
lstm,61,112,takeover_ramp,123.96392069259976,0.38,0.0,True
lstm,62,112,takeover_ramp,123.96392069259976,32.62,0.0,True
lstm,63,112,takeover_ramp,123.96392069259976,34.2,0.0,True
lstm,64,112,takeover_ramp,123.96392069259976,64.13,0.0,True
lstm,65,114,drift_ramp,23.262408845252608,4.91,0.0,True
lstm,66,114,drift_ramp,23.262408845252608,8.41,0.0,True
lstm,67,114,drift_ramp,23.262408845252608,11.98,0.0,True
lstm,68,114,drift_ramp,23.262408845252608,34.07,10.807591154747392,True
lstm,69,114,drift_ramp,23.262408845252608,37.76,14.49759115474739,True
lstm,70,114,drift_ramp,23.262408845252608,39.480000000000004,16.217591154747396,True
lstm,71,114,drift_ramp,23.262408845252608,43.0,19.737591154747392,True
lstm,72,114,drift_ramp,23.262408845252608,46.04,22.77759115474739,True
lstm,73,114,drift_ramp,23.262408845252608,50.07,26.807591154747392,True
lstm,74,114,drift_ramp,23.262408845252608,54.89,31.627591154747392,True
lstm,75,114,drift_ramp,23.262408845252608,55.88,32.617591154747394,True
lstm,76,114,drift_ramp,23.262408845252608,63.04,39.77759115474739,True
lstm,77,114,drift_ramp,23.262408845252608,67.03,43.76759115474739,True
lstm,78,117,delay,62.23656649358486,2.45,0.0,True
lstm,79,117,delay,62.23656649358486,28.37,0.0,True
lstm,80,117,delay,62.23656649358486,58.160000000000004,0.0,True
lstm,81,117,delay,62.23656649358486,64.1,1.8634335064151344,True
lstm,82,117,delay,62.23656649358486,69.12,6.883433506415145,True
lstm,83,123,delay,158.26730028372296,16.830000000000002,0.0,True
lstm,84,123,delay,158.26730028372296,61.93,0.0,True
lstm,85,131,drift_ramp,182.0752846677721,19.580000000000002,0.0,True
lstm,86,131,drift_ramp,182.0752846677721,22.52,0.0,True
lstm,87,131,drift_ramp,182.0752846677721,24.35,0.0,True
lstm,88,131,drift_ramp,182.0752846677721,30.78,0.0,True
lstm,89,131,drift_ramp,182.0752846677721,37.9,0.0,True
lstm,90,131,drift_ramp,182.0752846677721,44.49,0.0,True
lstm,91,131,drift_ramp,182.0752846677721,50.6,0.0,True
lstm,92,131,drift_ramp,182.0752846677721,57.410000000000004,0.0,True
lstm,93,131,drift_ramp,182.0752846677721,65.4,0.0,True
lstm,94,162,takeover_step,14.91515823592874,2.85,0.0,True
lstm,95,162,takeover_step,14.91515823592874,7.22,0.0,True
lstm,96,162,takeover_step,14.91515823592874,12.5,0.0,True
lstm,97,162,takeover_step,14.91515823592874,21.36,6.44484176407126,True
lstm,98,162,takeover_step,14.91515823592874,23.01,8.094841764071262,True
lstm,99,162,takeover_step,14.91515823592874,23.400000000000002,8.484841764071263,True
lstm,100,162,takeover_step,14.91515823592874,35.39,20.47484176407126,True
lstm,101,162,takeover_step,14.91515823592874,36.29,21.37484176407126,True
lstm,102,162,takeover_step,14.91515823592874,39.78,24.86484176407126,True
lstm,103,162,takeover_step,14.91515823592874,40.1,25.184841764071262,True
lstm,104,162,takeover_step,14.91515823592874,46.480000000000004,31.564841764071264,True
lstm,105,162,takeover_step,14.91515823592874,46.62,31.704841764071258,True
lstm,106,162,takeover_step,14.91515823592874,55.08,40.164841764071255,True
lstm,107,162,takeover_step,14.91515823592874,60.93,46.014841764071264,True
lstm,108,165,drift_sigmoid,147.15736833345036,0.89,0.0,True
lstm,109,165,drift_sigmoid,147.15736833345036,3.19,0.0,True
lstm,110,165,drift_sigmoid,147.15736833345036,28.98,0.0,True
lstm,111,165,drift_sigmoid,147.15736833345036,31.240000000000002,0.0,True
lstm,112,165,drift_sigmoid,147.15736833345036,39.27,0.0,True
lstm,113,165,drift_sigmoid,147.15736833345036,41.08,0.0,True
lstm,114,165,drift_sigmoid,147.15736833345036,43.300000000000004,0.0,True
lstm,115,165,drift_sigmoid,147.15736833345036,60.4,0.0,True
lstm,116,169,takeover_ramp,97.420297603735,2.66,0.0,True
lstm,117,169,takeover_ramp,97.420297603735,10.97,0.0,True
lstm,118,169,takeover_ramp,97.420297603735,25.2,0.0,True
lstm,119,179,takeover_step,122.10788111664908,3.5500000000000003,0.0,True
lstm,120,179,takeover_step,122.10788111664908,22.900000000000002,0.0,True
lstm,121,179,takeover_step,122.10788111664908,32.64,0.0,True
lstm,122,179,takeover_step,122.10788111664908,53.29,0.0,True
lstm,123,179,takeover_step,122.10788111664908,62.65,0.0,True
lstm,124,179,takeover_step,122.10788111664908,64.24000000000001,0.0,True
lstm,125,184,drift_ramp,75.24008074312675,11.51,0.0,True
lstm,126,184,drift_ramp,75.24008074312675,18.51,0.0,True
lstm,127,184,drift_ramp,75.24008074312675,24.61,0.0,True
lstm,128,184,drift_ramp,75.24008074312675,25.21,0.0,True
lstm,129,184,drift_ramp,75.24008074312675,25.59,0.0,True
lstm,130,184,drift_ramp,75.24008074312675,30.46,0.0,True
lstm,131,184,drift_ramp,75.24008074312675,41.85,0.0,True
lstm,132,184,drift_ramp,75.24008074312675,49.75,0.0,True
lstm,133,184,drift_ramp,75.24008074312675,61.870000000000005,0.0,True
lstm,134,192,drift_sigmoid,79.2016227542393,8.91,,False
lstm,135,192,drift_sigmoid,79.2016227542393,32.84,0.0,True
lstm,136,192,drift_sigmoid,79.2016227542393,33.09,0.0,True
lstm,137,192,drift_sigmoid,79.2016227542393,39.410000000000004,0.0,True
lstm,138,192,drift_sigmoid,79.2016227542393,39.730000000000004,0.0,True
lstm,139,193,takeover_ramp,40.23553773066088,4.2,0.0,True
lstm,140,193,takeover_ramp,40.23553773066088,4.73,0.0,True
lstm,141,193,takeover_ramp,40.23553773066088,9.33,0.0,True
lstm,142,193,takeover_ramp,40.23553773066088,13.34,0.0,True
lstm,143,193,takeover_ramp,40.23553773066088,15.66,0.0,True
lstm,144,193,takeover_ramp,40.23553773066088,24.04,0.0,True
lstm,145,193,takeover_ramp,40.23553773066088,24.490000000000002,0.0,True
lstm,146,193,takeover_ramp,40.23553773066088,34.37,0.0,True
lstm,147,193,takeover_ramp,40.23553773066088,43.75,3.51446226933912,True
lstm,148,193,takeover_ramp,40.23553773066088,44.99,4.754462269339122,True
lstm,149,193,takeover_ramp,40.23553773066088,49.730000000000004,9.494462269339124,True
lstm,150,193,takeover_ramp,40.23553773066088,56.65,16.41446226933912,True
lstm,151,193,takeover_ramp,40.23553773066088,59.18,18.94446226933912,True
lstm,152,193,takeover_ramp,40.23553773066088,64.83,24.594462269339118,True
lstm,153,197,drift_sigmoid,115.19058430867968,27.88,0.0,True
lstm,154,212,drift_sigmoid,79.90523467535208,0.51,0.0,True
lstm,155,212,drift_sigmoid,79.90523467535208,4.13,0.0,True
lstm,156,212,drift_sigmoid,79.90523467535208,14.13,0.0,True
lstm,157,212,drift_sigmoid,79.90523467535208,14.31,0.0,True
lstm,158,212,drift_sigmoid,79.90523467535208,30.34,0.0,True
lstm,159,212,drift_sigmoid,79.90523467535208,38.88,0.0,True
lstm,160,221,takeover_step,10.536360647437668,2.14,0.0,True
lstm,161,221,takeover_step,10.536360647437668,12.09,1.5536393525623318,True
lstm,162,221,takeover_step,10.536360647437668,14.040000000000001,3.503639352562333,True
lstm,163,221,takeover_step,10.536360647437668,28.0,17.463639352562332,True
lstm,164,221,takeover_step,10.536360647437668,41.49,30.953639352562334,True
lstm,165,221,takeover_step,10.536360647437668,50.2,39.663639352562335,True
lstm,166,221,takeover_step,10.536360647437668,55.56,45.023639352562334,True
lstm,167,221,takeover_step,10.536360647437668,62.980000000000004,52.443639352562336,True
lstm,168,221,takeover_step,10.536360647437668,67.55,57.01363935256233,True
lstm,169,224,takeover_step,93.79210260555344,6.59,0.0,True
lstm,170,224,takeover_step,93.79210260555344,7.91,0.0,True
lstm,171,224,takeover_step,93.79210260555344,9.72,0.0,True
lstm,172,224,takeover_step,93.79210260555344,18.71,0.0,True
lstm,173,224,takeover_step,93.79210260555344,26.39,0.0,True
lstm,174,224,takeover_step,93.79210260555344,32.660000000000004,0.0,True
lstm,175,224,takeover_step,93.79210260555344,41.81,0.0,True
lstm,176,224,takeover_step,93.79210260555344,48.120000000000005,0.0,True
lstm,177,224,takeover_step,93.79210260555344,55.64,0.0,True
lstm,178,224,takeover_step,93.79210260555344,59.78,0.0,True
lstm,179,224,takeover_step,93.79210260555344,63.63,0.0,True
lstm,180,224,takeover_step,93.79210260555344,66.93,0.0,True
lstm,181,233,delay,149.85146211197676,29.03,0.0,True
lstm,182,233,delay,149.85146211197676,60.0,0.0,True
lstm,183,243,step,127.99537316243467,3.85,0.0,True
lstm,184,243,step,127.99537316243467,7.69,0.0,True
lstm,185,243,step,127.99537316243467,11.32,0.0,True
lstm,186,243,step,127.99537316243467,18.41,0.0,True
lstm,187,243,step,127.99537316243467,34.58,0.0,True
lstm,188,243,step,127.99537316243467,40.78,0.0,True
lstm,189,243,step,127.99537316243467,53.59,0.0,True
lstm,190,243,step,127.99537316243467,58.0,0.0,True
lstm,191,254,drift_ramp,94.5062250126336,12.85,0.0,True
lstm,192,254,drift_ramp,94.5062250126336,31.48,0.0,True
lstm,193,254,drift_ramp,94.5062250126336,36.06,0.0,True
lstm,194,254,drift_ramp,94.5062250126336,60.84,0.0,True
lstm,195,258,drift_sigmoid,128.36090134328924,16.580000000000002,0.0,True
lstm,196,258,drift_sigmoid,128.36090134328924,51.17,0.0,True
lstm,197,264,delay,123.6817420350072,32.81,0.0,True
lstm,198,264,delay,123.6817420350072,63.95,0.0,True
lstm,199,264,delay,123.6817420350072,67.69,0.0,True
lstm,200,264,delay,123.6817420350072,68.79,0.0,True
lstm,201,276,takeover_step,113.5829416248078,27.12,0.0,True
lstm,202,279,drift_ramp,90.42971961610978,31.59,0.0,True
lstm,203,279,drift_ramp,90.42971961610978,32.39,0.0,True
lstm,204,279,drift_ramp,90.42971961610978,49.72,0.0,True
lstm,205,279,drift_ramp,90.42971961610978,58.120000000000005,0.0,True
lstm,206,279,drift_ramp,90.42971961610978,58.7,0.0,True
lstm,207,279,drift_ramp,90.42971961610978,60.59,0.0,True
lstm,208,279,drift_ramp,90.42971961610978,61.26,0.0,True
