regime,regime_label,dataset,model,precision_mean,precision_ci_lo,precision_ci_hi,recall_mean,recall_ci_lo,recall_ci_hi,f1_mean,f1_ci_lo,f1_ci_hi,dr_at_5s_mean,dr_at_5s_ci_lo,dr_at_5s_ci_hi,add_s_mean,add_s_ci_lo,add_s_ci_hi,mtbfa_h_mean,mtbfa_h_ci_lo,mtbfa_h_ci_hi
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_SITL (multi-platform),GRU,0.608268628516177,0.5789741176416884,0.6375631393906657,0.5671050282653972,0.44724007061398235,0.6869699859168121,0.5839426113329129,0.5128435257116786,0.6550416969541473,0.8222222222222222,0.32863198129817006,1.3158124631462744,5.527288888888888,3.521584944894002,7.5329928328837745,0.012148178020645477,0.008607949626625526,0.01568840641466543
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_SITL (multi-platform),CNN-LSTM,0.6480751903758202,0.6449071238833726,0.6512432568682678,0.7320083308539125,0.6847170919034238,0.7792995698044012,0.6870785994422794,0.6677603815684033,0.7063968173161556,0.08888888888888888,0.027190108773382363,0.1505876690043954,30.9416,26.013656585464393,35.86954341453561,0.015352133663390628,0.011281883524202408,0.019422383802578845
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_SITL (multi-platform),TCN,0.6363478763441748,0.6064892419169996,0.66620651077135,0.7124427253793513,0.620053211649218,0.8048322391094845,0.6702972653081456,0.6315157156613207,0.7090788149549705,0.6,-0.08008738065825571,1.2800873806582556,17.11777777777778,-3.8231397099124216,38.058695265467975,0.02154460621166611,0.015971133904015163,0.027118078519317055
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_SITL (multi-platform),Transformer,0.6393525176818536,0.6185969429901421,0.6601080923735652,0.5256173757810176,0.447069389075118,0.6041653624869173,0.574772471089724,0.5319874218725061,0.6175575203069418,0.44444444444444436,-0.0026056892726088465,0.8914945781614976,12.737066644444443,3.4883579737866803,21.985775315102206,0.008838838989963781,0.00460012874365527,0.01307754923627229
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),CNN,0.39749713959044347,0.3769045304274037,0.41808974875348326,0.9261707988980717,0.8935945475272242,0.9587470502689193,0.5559562618943946,0.5368219608759831,0.5750905629128061,0.96,0.8489421957920882,1.0710578042079117,0.3376477909088138,-0.34110880472262384,1.0164043865402514,0.0035606327516682886,0.003026441285170846,0.0040948242181657315
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),LSTM,0.4132772985780462,0.35223713078526,0.4743174663708324,0.8286501377410469,0.7114640606032221,0.9458362148788717,0.5467141780251843,0.5078558025338255,0.5855725535165431,0.9199999999999999,0.6978843915841765,1.1421156084158235,0.9471054553985597,-0.7194382915675958,2.6136492023647153,0.004689894206400395,0.002927528771065201,0.006452259641735589
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),BiLSTM,0.4227053746396658,0.38725533213626606,0.4581554171430655,0.7730027548209366,0.7034634785227408,0.8425420311191324,0.5447579298171619,0.5278166852792805,0.5616991743550432,0.8400000000000001,0.7289421957920883,0.9510578042079119,2.311590194702149,0.4755415169018149,4.147638872502483,0.0044451981057953135,0.003547410247542627,0.005342985964048
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),GRU,0.37370185703151904,0.34166357464115066,0.4057401394218874,0.7101928374655648,0.5973298412542538,0.8230558336768758,0.4891420989887119,0.4371679905854462,0.5411162073919776,0.8800000000000001,0.7439825238683491,1.0160174761316512,3.1140349292755127,0.06619679879909812,6.161873059751928,0.004274742050615233,0.0036808563703593037,0.004868627730871163
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),CNN-LSTM,0.40952370892553025,0.37732927499078933,0.44171814286027117,0.9294765840220386,0.9108039495368438,0.9481492185072333,0.5682568891606113,0.5355423977556567,0.600971380565566,0.96,0.8489421957920882,1.0710578042079117,0.8317772769927982,0.28852909346574895,1.3750254605198475,0.004284629628377391,0.0039851878065772384,0.004584071450177543
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),TCN,0.3743010153031938,0.3548824552380692,0.3937195753683184,0.9129476584022038,0.8574965611306888,0.9683987556737188,0.5308617893194066,0.5030818153383281,0.5586417633004852,1.0,1.0,1.0,0.3566744995117187,-0.012634233358413405,0.7259832323818508,0.00580668718281877,0.005401879970540807,0.006211494395096734
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),Transformer,0.41176344140720955,0.3373648894554878,0.4861619933589313,0.777961432506887,0.6370400907460152,0.9188827742677588,0.5301884338676965,0.5046519923945548,0.5557248753408383,0.76,0.6489421957920882,0.8710578042079118,2.7579994082450865,-0.2544144856219681,5.770413302112141,0.004843733775047742,0.00241550585424997,0.007271961695845515
5ms_600,"5 m/s, 600 flights",ALFA_matched,CNN,0.3689599055851854,0.3550362172912035,0.38288359387916726,0.866115702479339,0.8217405843714117,0.9104908205872663,0.517140234940997,0.5052364473913319,0.5290440224906622,0.96,0.8489421957920882,1.0710578042079117,0.5988225793838504,0.04597750844845072,1.1516676503192502,0.005507864957158033,0.004610721665689891,0.0064050082486261746
5ms_600,"5 m/s, 600 flights",ALFA_matched,LSTM,0.405002944535255,0.37231332243157506,0.4376925666389349,0.737190082644628,0.6201988619381944,0.8541813033510617,0.5208126230216008,0.4815223598048802,0.5601028862383215,0.96,0.8489421957920882,1.0710578042079117,1.5651177215576175,-0.7540786840490847,3.88431412716432,0.00462907277220252,0.003996707685815233,0.005261437858589808
5ms_600,"5 m/s, 600 flights",ALFA_matched,BiLSTM,0.3797303042698302,0.35893698873012553,0.4005236198095348,0.7917355371900826,0.721944336592704,0.8615267377874612,0.5129002815252549,0.484282700697949,0.5415178623525608,0.8800000000000001,0.7439825238683491,1.0160174761316512,1.6253295803070074,-0.3013683488854322,3.552027509499447,0.003937028794066218,0.003358761017509815,0.004515296570622621
5ms_600,"5 m/s, 600 flights",ALFA_matched,GRU,0.39795116536684644,0.36099559595833114,0.43490673477536174,0.7520661157024794,0.5908092000578632,0.9133230313470956,0.5158471910266519,0.47799954963863606,0.5536948324146678,0.8400000000000001,0.7289421957920883,0.9510578042079119,1.8557968974113472,-0.21410121280320782,3.9256950076259023,0.004822812143107519,0.003916635940932654,0.005728988345282384
5ms_600,"5 m/s, 600 flights",ALFA_matched,CNN-LSTM,0.3787020912988584,0.3584353798006349,0.3989688027970819,0.8490358126721762,0.784027134615256,0.9140444907290964,0.5228682519906513,0.5107714682667084,0.5349650357145943,0.9199999999999999,0.7839825238683489,1.056017476131651,0.9705386638641365,0.26106398202756975,1.6800133457007032,0.005299156680747262,0.00450307178413888,0.006095241577355644
5ms_600,"5 m/s, 600 flights",ALFA_matched,TCN,0.3965473316097332,0.38037168397229715,0.4127229792471693,0.7911845730027548,0.7299288113910727,0.8524403346144369,0.5281294415960629,0.5023027529912248,0.553956130200901,0.68,0.5439825238683489,0.8160174761316512,1.938846936225892,1.4680334641842316,2.4096604082675523,0.005635854838596469,0.004763849351320479,0.006507860325872459
5ms_600,"5 m/s, 600 flights",ALFA_matched,Transformer,0.4174921880561738,0.3423820026780959,0.4926023734342517,0.6115702479338843,0.47400155573750935,0.7491389401302592,0.49226651014575235,0.40645526080408323,0.5780777594874215,0.64,0.36796504773669775,0.9120349522633022,4.877824537754059,1.3941061654480555,8.361542910060063,0.00821206223724331,0.005201277435057922,0.011222847039428697
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,CNN,0.2606184431166724,-0.03912464405832433,0.5603615302916691,0.0628099173553719,-0.010129105533489946,0.13574894024423376,0.10100874855197609,-0.015724619333983655,0.21774211643793584,0.0,0.0,0.0,28.542381763458252,6.585976779308133,50.49878674760837,0.017119595184002395,0.006596784762480445,0.027642405605524344
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,LSTM,0.4554711064554665,0.41731324925340413,0.4936289636575289,0.41487603305785126,0.2363895488610154,0.5933625172546871,0.4219212729236975,0.318084455208295,0.5257580906391001,0.6,0.35166720035924715,0.8483327996407528,5.400216159820557,0.6541219367885223,10.146310382852592,0.009255062784167826,0.0028274980335550896,0.01568262753478056
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,BiLSTM,0.46619234006780197,0.41046643021800727,0.5219182499175967,0.44848484848484843,0.2680133274193177,0.6289563695503791,0.44983812276717705,0.3378407972183413,0.5618354483160128,0.6,0.35166720035924715,0.8483327996407528,4.513277947902679,-0.16384375935766915,9.190399655163027,0.010760888401372933,0.0074692018486117746,0.014052574954134091
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,GRU,0.49992850611460177,0.4282854496573818,0.5715715625718217,0.3404958677685951,0.05897301879660777,0.6220187167405824,0.36156296398503984,0.13885323726177923,0.5842726907083005,0.4800000000000001,0.1033846623303124,0.8566153376696878,9.785251832008361,-4.496386846847518,24.06689051086424,0.014122554364777041,0.003074714341050635,0.025170394388503447
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,CNN-LSTM,0.3826375809982367,0.09956894283209267,0.6657062191643808,0.1112947658402204,0.012257829529236236,0.21033170215120456,0.16836397256589017,0.03007735758059199,0.30665058755118835,0.08,-0.05601747613165113,0.21601747613165112,19.467589855194095,4.921425216704057,34.01375449368413,0.03888593763223401,0.001657138275058416,0.0761147369894096
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,TCN,0.34966847137874835,0.2832576427123682,0.4160793000451285,0.29366391184573004,0.18905397710714633,0.39827384658431375,0.31801165268689113,0.23102728076978346,0.4049960246039988,0.16,-0.04777012673671355,0.36777012673671355,15.236784609158835,11.85249881931365,18.621070399004022,0.00928015458415922,0.007849470685253837,0.010710838483064603
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,Transformer,0.42436030007285686,0.39213022458625435,0.45659037555945936,0.20550964187327825,0.07783055074237272,0.3331887330041838,0.2636994492631657,0.14639725261662367,0.3810016459097077,0.27999999999999997,0.14398252386834884,0.4160174761316511,14.56754266421,3.167878056434775,25.967207271985224,0.033917761233937804,-0.004421574864963654,0.07225709733283926
